Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Average
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,405.59,487.71,596.65,695.53,764.8,872.07,958.66,1083.24,1245.81,1320.67,1379.89,1531.84,1665.36,1722.91,1873.45,1896.46,1961.84,2044.11,2254.83,2360.02,2469.78,2677.64,2843.02,2553.79,2453.6,2637.86,2615.21,2727.85,2790.85,2962.91,2983.64,3092.43,3276.18,3395.8,2558.91,3103.18,3544.71,,2048.89
Africa Eastern and Southern,AFE,21216.96,22307.47,23702.47,25779.38,28049.54,30374.91,33049.16,35933.76,38749.86,42964.35,43702.32,47632.99,51627.51,66610.92,81658.05,86883.55,88290.76,98868.14,110802.41,129780.97,168165.16,177750.1,169302.77,179897.83,166208.1,143249.52,154792.61,185812.46,202092.61,214473.5,251211.84,273542.6,239433.17,240271.39,243564.81,273433.06,272519.34,288405.28,268833.64,265429.29,287201.65,260992.23,267815.04,355716.37,442696.19,516661.07,580240.75,665598.7,713502.11,715485.33,849409.66,945439.15,952675.59,963347.28,979689.66,899295.68,829829.96,940105.48,1012719.34,1006527.29,929074.09,1086772.16,1183962.13,1236163.04,376676.48
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521.42,2813.57,3825.7,4520.95,5224.9,6203.26,6971.76,9747.89,10109.3,12416.15,15856.67,17805.1,19907.33,20146.42,20497.13,19134.22,18116.57,18753.46,18053.22,18799.44,19955.93,14266.5,14502.16,,13093.44
Africa Western and Central,AFW,11884.13,12685.66,13606.83,14439.98,15769.11,16934.48,18048.04,16495.77,17022.7,19301.31,26697.11,24507.12,29493.92,36902.67,49688.19,57280.85,68386.32,71790.7,78779.1,96682.24,120501.08,216911.03,195917.94,151222.76,131218.16,137802.92,109237.0,112294.77,111227.15,103934.37,123711.32,129942.0,124599.39,129732.55,134776.9,207176.99,262600.91,275742.24,296152.44,139468.35,142140.08,149451.86,178692.44,206982.05,256100.64,312409.32,397088.79,465683.51,567937.96,508552.58,598697.71,682233.32,737799.65,834160.61,894585.44,769367.32,692181.09,685750.16,768189.59,823933.63,787146.72,845993.05,877140.81,796586.16,279521.42
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5880.0,4432.03,5538.66,6535.46,7675.42,6506.39,6152.92,9129.59,8936.08,15285.59,17812.7,23552.06,36970.9,52381.03,65266.42,88538.67,70307.2,83799.47,111789.75,128052.92,132339.11,135966.8,90496.42,52761.62,73690.15,79450.69,70897.96,48501.56,66505.13,104399.75,84722.96,54654.05
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,1857.34,1897.05,2097.33,2080.8,2051.24,2253.09,2028.55,1099.56,652.17,1185.32,1880.95,2392.76,3199.64,2258.51,2545.96,3212.12,3480.36,3922.1,4348.07,5611.5,7184.69,8052.08,8896.08,10677.32,12881.35,12044.21,11926.93,12890.76,12319.83,12776.22,13228.15,11386.85,11861.2,13019.73,15156.42,15401.83,15162.73,17930.57,18916.38,22977.68,7868.64
Andorra,AND,,,,,,,,,,,78.62,89.41,113.41,150.84,186.56,220.11,227.28,254.0,308.02,411.55,446.38,388.98,375.91,327.85,330.07,346.74,482.0,611.3,721.43,795.49,1028.99,1106.89,1209.99,1007.09,1017.54,1178.75,1224.02,1180.65,1211.95,1240.3,1432.61,1548.27,1764.28,2366.94,2900.25,3161.08,3459.34,3957.63,4102.32,3688.98,3449.93,3629.13,3188.65,3193.51,3271.69,2789.88,2896.61,3000.16,3218.42,3155.15,2891.0,3324.68,3380.6,3727.67,1699.46
Arab World,ARB,,,,,,26772.09,28352.06,30601.97,34974.2,38564.89,43095.59,49931.74,59972.47,79132.92,152202.08,168173.6,210012.1,242292.5,265427.51,358140.57,486440.98,494949.36,463116.78,437502.79,440213.96,432899.57,405502.5,431288.83,429413.86,457402.11,640090.92,466374.35,466062.66,477189.6,498083.76,526560.85,568785.41,612394.63,596742.29,663176.06,760659.53,741974.82,743726.48,826976.5,983700.79,1205595.87,1434109.19,1668426.02,2109171.85,1822783.84,2154252.31,2559855.18,2793775.68,2857872.05,2905075.94,2544136.35,2499965.91,2571053.72,2865543.59,2898668.72,2576553.32,2969116.81,3613682.35,3491516.94,1074237.82
United Arab Emirates,ARE,,,,,,,,,,,685.99,939.89,1415.09,4231.24,11651.51,14720.73,19213.16,24871.78,23775.76,31225.66,43599.16,49333.42,46622.72,42803.32,41807.95,40603.65,33943.61,36384.91,36275.67,41465.0,50701.44,51552.17,54239.17,55625.17,59305.09,65743.67,73571.23,78839.01,75674.34,84445.47,104337.37,103311.64,109816.2,124346.36,147824.37,180617.47,222116.54,257916.13,315474.62,253547.36,300189.05,360832.74,384610.13,400218.53,414105.37,370275.47,369255.33,390516.8,427049.43,417989.72,349473.02,415178.79,507063.97,504173.45,159731.61
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,109490.0,112988.57,88416.67,106213.83,109029.44,126928.0,76629.66,141352.65,189719.98,228778.92,236741.72,257440.0,258031.75,272149.75,292859.0,298948.25,283523.0,284203.75,268696.75,97724.0,127586.97,164657.93,198737.1,232557.26,287530.51,361558.04,332976.48,423627.42,530158.12,545982.38,552025.14,526319.67,594749.29,557532.32,643628.39,524819.89,447754.68,385740.51,487902.57,631133.38,640591.41,317986.22
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256.86,2069.87,1272.84,1201.31,1315.16,1468.32,1596.97,1639.49,1893.73,1845.48,1911.56,2118.47,2376.34,2807.06,3576.62,4900.47,6384.45,9206.3,11662.04,8647.94,9260.29,10142.11,10619.32,11121.46,11609.51,10553.34,10546.14,11527.46,12457.94,13619.29,12641.7,13878.91,19513.47,24212.13,7407.48
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,524.0,509.0,500.0,493.0,518.0,560.0,675.0,573.0,570.0,640.0,638.0,643.0,673.0,671.0,612.0,639.0,647.0,721.0,750.0,871.0,,616.14
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,77.5,88.03,109.59,132.44,149.38,166.43,184.85,212.19,246.34,297.54,346.84,411.37,455.15,478.69,504.31,525.1,565.63,625.05,616.01,679.11,734.39,789.76,835.51,900.55,877.51,897.99,947.96,1026.18,1143.71,1303.55,1487.3,1557.54,1386.44,1298.26,1281.34,1327.11,1325.43,1378.83,1437.76,1489.69,1531.15,1661.53,1725.35,1410.8,1601.37,1867.73,2033.09,896.37
Australia,AUS,18606.56,19682.88,19922.56,21539.84,23801.12,25976.16,27307.84,30442.72,32714.09,36683.37,41333.61,45216.65,52040.89,63830.88,88963.89,97303.02,105059.36,110349.85,118491.63,134898.33,149985.52,176893.07,194038.4,177265.42,193519.0,180637.13,182475.52,189487.16,236154.04,299871.84,311420.51,325966.69,325518.46,312128.3,322802.49,368166.02,401341.88,435642.61,399674.42,389652.21,416167.82,379629.3,395788.7,467739.08,614659.98,695692.9,748417.56,855007.46,1056112.43,928762.12,1148890.2,1398701.32,1547649.84,1577301.84,1468597.69,1351768.95,1207580.9,1326882.1,1429733.67,1394671.33,1330381.54,1559033.76,1692956.65,1723827.22,521918.13
Austria,AUT,6650.13,7375.45,7823.69,8447.14,9249.88,10081.15,10982.54,11680.32,12549.02,13701.14,15373.01,17858.49,22059.61,29515.47,35189.3,40059.21,42959.98,51545.76,62052.26,73937.3,82058.91,71034.23,71275.29,72121.02,67985.34,69386.77,99036.16,124168.44,133339.4,133105.81,166463.39,173794.18,195078.13,190379.72,203535.24,241038.28,237250.95,212790.35,218259.9,217259.15,197289.63,197508.77,214394.87,262273.63,301457.56,316092.27,336280.06,389185.57,432051.94,401758.74,392275.11,431685.22,409401.82,430190.98,442584.82,381971.15,395837.35,417261.15,454991.17,444596.16,435049.32,479295.36,470941.93,516034.14,197169.69
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8884.85,5344.0,444.66,1570.39,1193.14,2417.33,3176.51,3962.36,4446.37,4581.25,5272.62,5707.62,6236.09,7276.41,8680.41,13245.42,20981.93,33049.42,48851.29,44292.43,52909.29,65952.8,69679.94,74160.56,75239.79,53076.24,37867.0,40866.63,47112.47,48174.24,42693.0,54825.41,78807.47,72356.18,30686.34
Burundi,BDI,196.0,203.0,213.5,232.75,260.75,158.99,165.44,178.3,183.2,190.21,242.73,252.84,246.8,304.34,345.26,420.99,448.41,547.54,610.23,782.5,919.73,969.05,1013.22,1082.93,987.14,1149.98,1201.73,1131.47,1082.4,1113.92,1132.1,1167.4,1083.04,938.63,925.03,1000.43,869.03,972.9,893.77,808.08,870.49,876.79,825.39,784.65,915.26,1117.11,1273.38,1356.2,1611.84,1781.46,2032.14,2235.82,2333.34,2451.61,2705.78,3104.0,2644.49,2723.59,2667.18,2576.52,2649.68,2775.8,3338.72,2642.16,1170.61
Belgium,BEL,11810.62,12561.7,13436.83,14445.81,16168.04,17597.78,18894.89,20252.51,21654.86,24019.65,26706.2,29821.66,37209.42,47743.8,56033.08,65678.19,71113.88,82839.91,101246.53,116315.46,126829.31,104730.02,92095.93,87184.24,83349.53,86268.26,120018.79,149394.4,162299.1,164221.06,205331.75,210511.0,234781.65,224721.8,244884.13,288025.59,279201.43,252708.05,258528.34,258245.73,236792.46,236746.14,258383.6,318082.53,369214.71,385714.76,408259.84,470922.16,517328.09,483254.17,481420.88,523330.35,496152.88,521791.02,535390.2,462335.57,476062.76,502764.72,543299.07,535865.8,526021.51,600904.46,583613.98,632216.58,242886.71
Benin,BEN,226.2,235.67,236.43,253.93,269.82,289.91,302.93,306.22,326.32,330.75,333.63,335.07,410.33,504.38,554.65,676.87,698.41,750.05,928.84,1186.23,1405.25,1291.12,1267.78,1095.35,1051.13,1045.71,1336.1,1562.41,1620.25,1502.29,1959.97,1986.44,1695.32,2274.56,1598.08,2169.63,2361.12,2268.3,2455.09,3677.39,3519.99,3666.22,4194.34,5349.26,6190.27,6567.65,7034.11,8169.05,9787.73,9738.63,9535.35,10693.32,11141.36,12517.85,13284.53,11388.16,11821.07,12701.66,14262.41,14390.71,15686.74,17687.62,17425.42,19673.28,4706.35
Burkina Faso,BFA,330.44,350.25,379.57,394.04,410.32,422.92,433.89,450.75,460.44,478.3,458.4,482.41,578.6,674.77,751.13,939.97,976.55,1131.22,1475.58,1748.48,1928.72,1775.84,1754.45,1600.28,1459.88,1552.49,2036.3,2369.83,2616.04,2615.59,3101.3,3135.05,3356.69,3199.54,1895.29,2379.52,2586.55,2447.67,2804.9,3389.57,2968.37,3190.37,3622.35,4740.77,5451.69,6146.35,6547.42,7625.72,9451.44,9450.7,10109.62,12080.3,12561.02,13444.3,13943.02,11832.16,12833.36,14106.96,15890.07,16032.81,17725.01,19643.17,18820.22,20324.62,5154.3
Bangladesh,BGD,4274.89,4817.58,5081.41,5319.46,5386.05,5906.64,6439.69,7253.58,7483.69,8471.01,8992.72,8751.84,6288.25,8086.73,12512.46,19448.35,10117.11,9651.15,13281.77,15565.48,18138.05,20249.69,18525.4,17609.05,18920.84,22278.42,21774.03,24298.03,26579.01,28781.72,31598.34,30957.48,31708.87,33166.52,33768.66,37939.75,46438.48,48244.31,49984.56,51270.57,53369.79,53991.29,54724.08,60158.93,65108.54,69476.0,71795.74,79611.64,91637.0,102475.16,115275.54,128607.48,133310.75,149998.96,172886.61,195146.61,265224.51,293732.45,321362.75,351231.66,373979.44,416271.65,460131.69,437415.33,82848.21
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,19839.23,19870.0,19342.0,16563.67,17594.94,17155.42,20249.29,28101.0,22555.94,21988.44,20632.09,10943.55,10350.52,10832.06,9697.42,18991.48,12294.96,11316.13,15031.06,13627.33,13245.99,14183.45,16403.04,21144.96,26157.74,29868.66,34380.54,44432.81,54480.68,52023.8,50760.93,57737.04,54288.14,55852.12,57157.78,50812.0,53964.25,59309.75,66370.13,68881.01,70368.76,84041.49,90346.17,101584.38,35563.0
Bahrain,BHR,,,,,,,,,,,391.58,422.18,534.08,761.13,1042.18,1099.11,1581.71,1989.06,2272.04,2710.16,3493.83,3943.11,4145.42,4247.03,4440.87,4152.38,3470.75,3856.92,4209.83,4393.09,4809.51,5248.91,5402.23,5913.0,6330.63,6651.18,6938.17,7219.41,7031.31,7528.47,9062.9,8976.2,9593.51,11074.81,13150.16,15968.72,18504.76,21730.0,25710.9,22938.22,25713.27,28776.6,30749.31,32539.47,33387.71,31125.85,32250.13,35423.64,37802.01,38653.32,34621.81,39288.67,44383.3,43205.0,14089.99
"Bahamas, The",BHS,169.8,190.1,212.25,237.75,266.67,300.39,340.0,390.2,444.9,528.14,538.42,573.4,590.9,670.9,632.4,596.2,642.1,713.0,832.4,1139.8,1335.3,1426.5,1578.3,1732.8,2041.1,2320.7,2472.5,2714.0,2817.9,3062.0,3166.0,3111.16,3109.0,3092.0,3259.0,3429.0,3609.0,6332.36,6833.22,7683.87,8076.47,8317.83,8881.16,8870.09,9055.29,9836.2,10167.25,10618.34,10526.0,9981.96,10095.76,10070.45,10720.5,10395.8,10974.1,11671.9,11745.1,12236.7,12615.8,13016.2,9958.2,11368.9,13136.4,14338.5,5184.54
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7753.48,6122.96,4735.04,3630.67,1255.8,1866.57,2786.05,3671.91,4116.77,4686.26,5567.77,5800.62,6728.22,8498.89,10156.54,11222.8,12864.84,15778.73,19112.8,17613.95,17176.32,18644.23,17226.74,18179.11,18558.73,16404.35,17116.93,18326.37,20484.05,20482.61,20226.04,23672.71,24534.66,27054.89,12707.6
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200.0,16416.67,14952.1,13970.43,14756.85,14130.59,15221.35,12138.24,12736.78,12354.82,14594.9,17825.44,23141.57,30210.09,36961.89,45275.71,60752.11,50873.17,57231.9,61762.38,65685.89,75527.56,78812.81,56454.89,47723.55,54725.3,60031.17,64410.12,61371.76,69673.75,73775.18,71857.38,41079.89
Belize,BLZ,28.07,29.96,31.86,33.75,36.19,40.11,44.45,47.43,45.0,47.4,53.34,59.07,66.0,78.21,103.16,118.19,97.09,117.65,136.3,151.8,197.94,196.09,182.21,192.1,214.38,212.64,231.64,281.08,320.09,369.13,545.69,594.98,693.63,750.02,769.65,816.49,848.21,870.86,926.55,996.91,1134.76,1168.13,1240.06,1303.38,1394.27,1468.15,1584.21,1699.21,1731.92,1681.47,1739.07,1818.83,1899.5,2021.76,2125.13,2194.71,2240.59,2266.66,2292.79,2386.79,2047.73,2424.58,2830.51,3281.5,899.23
Bermuda,BMU,84.47,89.25,94.15,96.37,107.57,114.34,134.17,155.1,150.0,164.9,186.3,211.1,235.4,269.5,312.6,345.0,386.3,447.0,475.8,517.2,613.3,739.1,785.5,889.4,985.7,1039.5,1173.5,1296.5,1415.1,1501.5,1592.4,1634.9,1679.9,1820.36,1867.16,2030.75,2695.39,2932.83,3130.75,3324.43,3480.22,3680.48,3937.23,4186.52,4484.7,4868.14,6144.0,6767.0,6980.0,6656.0,6634.53,6312.69,6378.19,6465.76,6413.99,6654.54,6899.91,7142.32,7225.98,7423.47,6887.15,7286.61,7827.98,,2832.73
Bolivia,BOL,373.25,406.0,443.92,478.0,538.58,598.33,662.5,748.25,849.33,920.33,1006.83,1084.67,1286.15,1263.6,2101.3,2405.9,2733.35,3229.05,3760.1,4510.5,4450.37,5778.49,5600.39,5414.01,6169.3,5377.28,3959.38,4347.96,4597.61,4715.97,4867.58,5343.26,5643.87,5734.7,5981.22,6715.16,7396.95,7925.74,8497.49,8285.06,8397.86,8141.52,7905.49,8082.4,8773.45,9549.12,11451.84,13120.11,16674.28,17339.99,19649.72,23963.16,27084.5,30659.34,32996.19,33000.2,33941.13,37508.64,40287.65,40895.32,36629.84,40406.11,44008.28,45849.83,11601.84
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425595.31,384959.82,342534.09,328191.91,368292.03,525369.47,769333.05,850426.43,883206.18,863710.76,599642.02,655448.23,559983.63,509795.27,558233.75,669289.42,891633.84,1107626.54,1397114.49,1695855.08,1666996.44,2208837.75,2616156.22,2465227.8,2472819.54,2456043.73,1802212.21,1795693.48,2063514.98,1916933.9,1873288.21,1476107.23,1670647.4,1951923.94,2173665.66,1285608.85
Barbados,BRB,80.02,85.36,88.78,99.89,99.25,105.02,113.19,125.55,125.73,141.39,166.21,186.82,213.72,260.77,311.81,402.18,435.91,495.1,552.88,670.36,1012.28,1114.2,1163.92,1236.02,1346.89,1409.54,1547.76,1704.37,1812.76,2006.17,2012.13,2020.58,1957.0,2063.34,2151.34,2216.97,2363.65,2498.38,2817.08,2951.82,3059.5,3054.5,3106.5,3209.5,3444.5,3819.5,4217.32,4675.77,4790.41,4466.81,4534.77,4662.34,4622.69,4693.45,4711.84,4738.65,4848.21,5000.46,5128.35,5367.14,4779.76,4945.28,5840.67,6393.56,2348.09
Brunei Darussalam,BRN,,,,,,114.04,132.76,139.03,160.82,161.21,179.08,197.53,270.82,433.1,1073.59,1168.3,1423.04,1732.72,1941.58,2803.83,4928.81,4366.23,4264.2,3844.63,3782.55,3523.53,2358.57,2754.49,2690.68,2985.53,3520.49,3701.77,4183.63,4105.73,4087.22,4734.1,5115.45,5197.31,4051.14,4600.12,6001.28,5601.02,5843.37,6557.4,7872.2,9531.42,11470.46,12247.68,14393.43,10732.6,13707.28,18525.13,19048.44,18094.32,17097.8,12930.29,11400.47,12128.18,13566.94,13469.24,12005.8,14006.5,16681.54,15128.29,6589.3
Bhutan,BTN,,,,,,,,,,,61.81,66.29,70.14,78.9,92.9,86.82,88.46,97.88,94.09,105.38,128.67,139.17,141.44,156.7,160.42,163.29,191.22,242.74,272.3,264.8,287.77,240.29,240.23,225.97,258.95,290.49,303.41,352.23,363.46,399.31,460.73,496.11,559.35,651.94,735.35,860.39,942.88,1255.77,1317.52,1331.34,1673.46,1938.44,1939.73,1913.16,2057.33,2154.92,2322.73,2591.36,2583.34,2735.68,2457.6,2768.8,2898.23,,836.07
Botswana,BWA,30.41,32.9,35.64,38.09,41.62,45.79,51.47,58.64,66.25,77.36,96.24,127.45,164.46,244.12,306.04,355.17,372.03,451.62,590.41,819.87,1060.89,1073.81,1014.95,1172.23,1240.82,1114.78,1392.6,1965.23,2644.55,3083.82,3790.64,3942.88,4146.46,4160.13,4259.26,4730.6,4847.76,5020.27,4790.48,5484.26,5788.33,5489.61,5438.86,7511.58,8957.47,9918.91,9919.16,10567.27,10730.83,10118.46,12637.27,15110.64,13907.46,14271.74,15470.09,13530.75,15082.64,16105.16,17031.94,16725.91,14960.29,18750.95,20321.96,19395.77,5823.2
Central African Republic,CAF,112.16,123.13,124.48,129.38,142.03,150.57,157.93,163.82,191.77,188.04,189.11,201.45,230.32,271.18,281.4,378.66,451.15,507.3,610.58,700.76,797.05,694.8,748.31,658.68,637.82,864.85,1122.27,1200.99,1264.9,1233.93,1440.71,1377.37,1411.92,1278.78,851.17,1115.39,1007.79,937.74,967.34,999.48,916.78,932.65,996.07,1142.32,1272.36,1337.89,1461.86,1699.81,1993.41,2067.38,2142.59,2437.98,2510.13,1691.54,1894.81,1695.83,1825.02,2072.35,2220.98,2221.3,2326.72,2516.5,2382.62,2555.49,1097.36
Canada,CAN,40563.77,41038.19,42336.21,45140.34,49503.66,54649.41,61252.42,65856.92,72048.83,79405.01,88192.26,99606.45,113463.85,131764.34,160949.19,174419.76,207271.61,212325.18,219369.54,243891.12,274776.57,307246.64,314647.81,341866.28,356718.4,366186.01,379006.84,433134.24,509380.03,567211.99,596075.59,612527.71,594387.36,579053.56,579944.35,605961.09,630607.99,654987.0,634000.0,678412.2,744773.42,738981.79,760649.33,895540.65,1026690.24,1173108.6,1319264.81,1468820.41,1552989.69,1374625.14,1617343.37,1793326.63,1828366.48,1846597.42,1805749.88,1556508.82,1527994.74,1649265.64,1725329.19,1743725.18,1655684.73,2007472.18,2161483.37,2140085.57,755211.83
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271637.12,249770.19,256444.33,269826.67,308020.66,393418.19,416195.42,410169.36,448894.52,435065.69,428597.56,468614.17,528074.38,634393.99,763090.45,886072.34,1001637.21,1265565.73,1530718.93,1289853.59,1316548.01,1454732.4,1359052.94,1417557.28,1463823.02,1293623.33,1316821.59,1461567.75,1649014.25,1674815.95,1665817.49,1908203.52,1943576.04,2252970.88,1012770.15
Switzerland,CHE,10412.23,11713.35,12989.65,14283.87,15833.13,16780.23,18019.4,19397.04,20712.1,22442.04,24998.07,30040.17,36844.32,49550.01,57103.01,65466.08,68476.52,73135.77,102280.47,114970.09,122557.84,112244.81,115043.37,114634.36,109455.31,110980.31,159089.92,199236.37,215540.63,208105.85,265763.57,268901.69,279921.43,272237.53,301375.06,352835.81,340103.96,294788.2,303459.01,297873.64,279216.03,286582.67,309301.42,362075.09,403912.89,418284.87,441634.67,490740.72,567267.77,554212.92,598851.03,715888.13,686420.22,706234.94,726537.81,694118.19,687895.46,695200.83,725568.72,721369.11,741999.41,813408.79,818426.55,884940.4,305620.08
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945.68,6262.74,6439.7,6232.91,6663.67,7332.24,8553.64,8827.27,9676.17,11514.61,,,,,,,,,9072.06,9070.98,9940.77,9921.39,9301.35,11138.49,11228.32,,8654.23
Chile,CHL,4110.0,4829.24,5631.29,5591.31,5964.2,6108.68,7162.63,7057.48,7192.1,8359.6,9144.11,10876.09,11833.9,16826.39,16209.69,7621.57,10338.62,13965.6,15992.04,21806.14,29036.71,34509.88,19529.29,20362.02,19671.77,17717.66,18897.11,22250.73,26042.57,29936.74,33137.82,37846.19,45949.61,49287.38,56998.6,73444.83,78584.1,85741.42,81990.01,75578.69,78339.75,71574.74,70264.05,76492.58,99075.99,122294.15,153843.52,172491.08,179894.59,171777.9,217051.21,251382.57,267024.78,277395.02,259560.98,242450.36,249344.86,276154.26,295857.56,278285.06,254042.16,315515.01,302116.54,335533.33,94857.75
