slug_game,game_season,country_name,discipline_title,event_title,event_gender,medal_type,medal_count
albertville-1992,Winter,Austria,Alpine Skiing,alpine combined women,Women,GOLD,1
albertville-1992,Winter,Austria,Alpine Skiing,alpine combined women,Women,SILVER,1
albertville-1992,Winter,Austria,Alpine Skiing,downhill men,Men,BRONZE,1
albertville-1992,Winter,Austria,Alpine Skiing,downhill men,Men,GOLD,1
albertville-1992,Winter,Austria,Alpine Skiing,downhill women,Women,BRONZE,1
albertville-1992,Winter,Austria,Alpine Skiing,giant slalom women,Women,SILVER,1
albertville-1992,Winter,Austria,Alpine Skiing,slalom men,Men,BRONZE,1
albertville-1992,Winter,Austria,Alpine Skiing,slalom women,Women,GOLD,1
albertville-1992,Winter,Austria,Bobsleigh,four-man men,Men,GOLD,1
albertville-1992,Winter,Austria,Luge,singles men,Men,BRONZE,1
albertville-1992,Winter,Austria,Luge,singles men,Men,SILVER,1
albertville-1992,Winter,Austria,Luge,singles women,Women,GOLD,1
albertville-1992,Winter,Austria,Luge,singles women,Women,SILVER,1
albertville-1992,Winter,Austria,Nordic Combined,individual men,Men,BRONZE,1
albertville-1992,Winter,Austria,Nordic Combined,team men,Men,BRONZE,1
albertville-1992,Winter,Austria,Ski Jumping,large hill individual men,Men,BRONZE,1
albertville-1992,Winter,Austria,Ski Jumping,large hill individual men,Men,SILVER,1
albertville-1992,Winter,Austria,Ski Jumping,normal hill individual men,Men,GOLD,1
albertville-1992,Winter,Austria,Ski Jumping,normal hill individual men,Men,SILVER,1
albertville-1992,Winter,Austria,Ski Jumping,teams men,Men,SILVER,1
albertville-1992,Winter,Austria,Speed skating,3000m women,Women,BRONZE,1
albertville-1992,Winter,Canada,Alpine Skiing,downhill women,Women,GOLD,1
albertville-1992,Winter,Canada,Biathlon,15km women,Women,BRONZE,1
albertville-1992,Winter,Canada,Figure skating,pairs mixed,Mixed,BRONZE,1
albertville-1992,Winter,Canada,Ice Hockey,ice hockey men,Men,SILVER,1
albertville-1992,Winter,Canada,Short Track,1000m men,Men,SILVER,1
albertville-1992,Winter,Canada,Short Track,3000m relay women,Women,GOLD,1
albertville-1992,Winter,Canada,Short Track,5000m relay men,Men,SILVER,1
albertville-1992,Winter,China,Short Track,500m women,Women,SILVER,1
albertville-1992,Winter,China,Speed skating,1000m women,Women,SILVER,1
albertville-1992,Winter,China,Speed skating,500m women,Women,SILVER,1
albertville-1992,Winter,Czech Republic,Figure skating,individual men,Men,BRONZE,1
albertville-1992,Winter,Czech Republic,Ice Hockey,ice hockey men,Men,BRONZE,1
albertville-1992,Winter,Czech Republic,Ski Jumping,teams men,Men,BRONZE,1
albertville-1992,Winter,Finland,Biathlon,10km men,Men,BRONZE,1
albertville-1992,Winter,Finland,Cross Country Skiing,15km mass start women,Women,SILVER,1
albertville-1992,Winter,Finland,Cross Country Skiing,5km women,Women,GOLD,1
albertville-1992,Winter,Finland,Cross Country Skiing,relay 4x10km men,Men,BRONZE,1
albertville-1992,Winter,Finland,Ski Jumping,large hill individual men,Men,GOLD,1
albertville-1992,Winter,Finland,Ski Jumping,normal hill individual men,Men,BRONZE,1
albertville-1992,Winter,Finland,Ski Jumping,teams men,Men,GOLD,1
albertville-1992,Winter,France,Alpine Skiing,alpine combined women,Women,BRONZE,1
albertville-1992,Winter,France,Alpine Skiing,downhill men,Men,SILVER,1
