country_name,game_season,discipline_title,event_title,event_gender,gold,silver,bronze,total_medals
Afghanistan,Summer,Taekwondo,58 - 68 kg men,Men,0.0,0.0,1.0,1.0
Afghanistan,Summer,Taekwondo,beijing 2008 taekwondo - 58 kg men,Men,0.0,0.0,1.0,1.0
Algeria,Summer,Athletics,1500m men,Men,2.0,1.0,0.0,3.0
Algeria,Summer,Athletics,1500m women,Women,2.0,0.0,0.0,2.0
Algeria,Summer,Athletics,5000m men,Men,0.0,1.0,0.0,1.0
Algeria,Summer,Athletics,800m men,Men,0.0,1.0,1.0,2.0
Algeria,Summer,Athletics,high jump men,Men,0.0,0.0,1.0,1.0
Algeria,Summer,Boxing,54-57kg featherweight men,Men,0.0,0.0,1.0,1.0
Algeria,Summer,Boxing,57-60kg lightweight men,Men,1.0,0.0,0.0,1.0
Algeria,Summer,Boxing,60-63.5kg lightwelterweigh men,Men,0.0,0.0,1.0,1.0
Algeria,Summer,Boxing,71-75kg men,Men,0.0,0.0,2.0,2.0
Algeria,Summer,Boxing,75-81kg lightheavyweight men,Men,0.0,0.0,1.0,1.0
Algeria,Summer,Judo,48  52kg halflightweight women,Women,0.0,0.0,1.0,1.0
Algeria,Summer,Judo,81  90kg middleweight men,Men,0.0,1.0,0.0,1.0
Argentina,Summer,Athletics,long jump women,Women,0.0,1.0,0.0,1.0
Argentina,Summer,Athletics,marathon men,Men,2.0,1.0,0.0,3.0
Argentina,Summer,Athletics,triple jump men,Men,0.0,1.0,0.0,1.0
Argentina,Summer,Basketball,basketball men,Men,1.0,0.0,1.0,2.0
Argentina,Summer,Boxing,51kg flyweight men,Men,1.0,0.0,0.0,1.0
Argentina,Summer,Boxing,5352  5715kg featherweight men,Men,0.0,1.0,1.0,2.0
Argentina,Summer,Boxing,54  5715kg featherweight men,Men,1.0,0.0,0.0,1.0
Argentina,Summer,Boxing,54-57kg featherweight men,Men,0.0,0.0,1.0,1.0
Argentina,Summer,Boxing,57-60kg lightweight men,Men,0.0,0.0,1.0,1.0
Argentina,Summer,Boxing,5715  6124kg lightweight men,Men,0.0,1.0,0.0,1.0
