game_name,country_name,game_season,discipline_title,event_title,event_gender,gold,silver,bronze,total_medals
Albertville 1992,Austria,Winter,Alpine Skiing,alpine combined women,Women,1.0,1.0,,2.0
Albertville 1992,Austria,Winter,Alpine Skiing,downhill men,Men,1.0,,1.0,2.0
Albertville 1992,Austria,Winter,Alpine Skiing,downhill women,Women,,,1.0,1.0
Albertville 1992,Austria,Winter,Alpine Skiing,giant slalom women,Women,,1.0,,1.0
Albertville 1992,Austria,Winter,Alpine Skiing,slalom men,Men,,,1.0,1.0
Albertville 1992,Austria,Winter,Alpine Skiing,slalom women,Women,1.0,,,1.0
Albertville 1992,Austria,Winter,Bobsleigh,four-man men,Men,1.0,,,1.0
Albertville 1992,Austria,Winter,Luge,singles men,Men,,1.0,1.0,2.0
Albertville 1992,Austria,Winter,Luge,singles women,Women,1.0,1.0,,2.0
Albertville 1992,Austria,Winter,Nordic Combined,individual men,Men,,,1.0,1.0
Albertville 1992,Austria,Winter,Nordic Combined,team men,Men,,,1.0,1.0
Albertville 1992,Austria,Winter,Ski Jumping,large hill individual men,Men,,1.0,1.0,2.0
Albertville 1992,Austria,Winter,Ski Jumping,normal hill individual men,Men,1.0,1.0,,2.0
Albertville 1992,Austria,Winter,Ski Jumping,teams men,Men,,1.0,,1.0
Albertville 1992,Austria,Winter,Speed skating,3000m women,Women,,,1.0,1.0
Albertville 1992,Canada,Winter,Alpine Skiing,downhill women,Women,1.0,,,1.0
Albertville 1992,Canada,Winter,Biathlon,15km women,Women,,,1.0,1.0
Albertville 1992,Canada,Winter,Figure skating,pairs mixed,Mixed,,,1.0,1.0
Albertville 1992,Canada,Winter,Ice Hockey,ice hockey men,Men,,1.0,,1.0
Albertville 1992,Canada,Winter,Short Track,1000m men,Men,,1.0,,1.0
Albertville 1992,Canada,Winter,Short Track,3000m relay women,Women,1.0,,,1.0
Albertville 1992,Canada,Winter,Short Track,5000m relay men,Men,,1.0,,1.0
Albertville 1992,China,Winter,Short Track,500m women,Women,,1.0,,1.0
Albertville 1992,China,Winter,Speed skating,1000m women,Women,,1.0,,1.0
Albertville 1992,China,Winter,Speed skating,500m women,Women,,1.0,,1.0
Albertville 1992,Czech Republic,Winter,Figure skating,individual men,Men,,,1.0,1.0
Albertville 1992,Czech Republic,Winter,Ice Hockey,ice hockey men,Men,,,1.0,1.0
Albertville 1992,Czech Republic,Winter,Ski Jumping,teams men,Men,,,1.0,1.0
Albertville 1992,Finland,Winter,Biathlon,10km men,Men,,,1.0,1.0
Albertville 1992,Finland,Winter,Cross Country Skiing,15km mass start women,Women,,1.0,,1.0
Albertville 1992,Finland,Winter,Cross Country Skiing,5km women,Women,1.0,,,1.0
Albertville 1992,Finland,Winter,Cross Country Skiing,relay 4x10km men,Men,,,1.0,1.0
Albertville 1992,Finland,Winter,Ski Jumping,large hill individual men,Men,1.0,,,1.0
Albertville 1992,Finland,Winter,Ski Jumping,normal hill individual men,Men,,,1.0,1.0
Albertville 1992,Finland,Winter,Ski Jumping,teams men,Men,1.0,,,1.0
Albertville 1992,France,Winter,Alpine Skiing,alpine combined women,Women,,,1.0,1.0
Albertville 1992,France,Winter,Alpine Skiing,downhill men,Men,,1.0,,1.0
Albertville 1992,France,Winter,Alpine Skiing,super-g women,Women,,1.0,,1.0
Albertville 1992,France,Winter,Biathlon,3x75km relay women,Women,1.0,,,1.0
Albertville 1992,France,Winter,Figure skating,ice dancing mixed,Mixed,,1.0,,1.0
Albertville 1992,France,Winter,Freestyle Skiing,moguls men,Men,1.0,1.0,,2.0
Albertville 1992,France,Winter,Nordic Combined,individual men,Men,1.0,1.0,,2.0
Albertville 1992,Germany,Winter,Alpine Skiing,super-g women,Women,,,1.0,1.0
Albertville 1992,Germany,Winter,Biathlon,10km men,Men,1.0,1.0,,2.0
Albertville 1992,Germany,Winter,Biathlon,15km women,Women,1.0,,,1.0
Albertville 1992,Germany,Winter,Biathlon,20km men,Men,,1.0,,1.0
Albertville 1992,Germany,Winter,Biathlon,3x75km relay women,Women,,1.0,,1.0
Albertville 1992,Germany,Winter,Biathlon,4x75km relay men,Men,1.0,,,1.0
Albertville 1992,Germany,Winter,Biathlon,75km women,Women,,1.0,,1.0
Albertville 1992,Germany,Winter,Bobsleigh,four-man men,Men,,1.0,,1.0
