game_season,country_code,country_name,discipline_title,event_title,event_gender,medal_type,medal_count
Summer,AFG,Afghanistan,Taekwondo,58 - 68 kg men,Men,BRONZE,1
Summer,AFG,Afghanistan,Taekwondo,beijing 2008 taekwondo - 58 kg men,Men,BRONZE,1
Summer,AHO,Netherlands Antilles,Sailing,division ii - windsurfer men,Open,SILVER,1
Summer,ALG,Algeria,Athletics,1500m men,Men,GOLD,2
Summer,ALG,Algeria,Athletics,1500m men,Men,SILVER,1
Summer,ALG,Algeria,Athletics,1500m women,Women,GOLD,2
Summer,ALG,Algeria,Athletics,5000m men,Men,SILVER,1
Summer,ALG,Algeria,Athletics,800m men,Men,BRONZE,1
Summer,ALG,Algeria,Athletics,800m men,Men,SILVER,1
Summer,ALG,Algeria,Athletics,high jump men,Men,BRONZE,1
Summer,ALG,Algeria,Boxing,54-57kg featherweight men,Men,BRONZE,1
Summer,ALG,Algeria,Boxing,57-60kg lightweight men,Men,GOLD,1
Summer,ALG,Algeria,Boxing,60-63.5kg lightwelterweigh men,Men,BRONZE,1
Summer,ALG,Algeria,Boxing,71-75kg men,Men,BRONZE,2
Summer,ALG,Algeria,Boxing,75-81kg lightheavyweight men,Men,BRONZE,1
Summer,ALG,Algeria,Judo,48  52kg halflightweight women,Women,BRONZE,1
Summer,ALG,Algeria,Judo,81  90kg middleweight men,Men,SILVER,1
Summer,ANZ,Australasia,Athletics,3500m walk men,Men,BRONZE,1
Summer,ANZ,Australasia,Boxing,635  7167kg middleweight men,Men,SILVER,1
Summer,ANZ,Australasia,Rugby,rugby men,Men,GOLD,1
Summer,ANZ,Australasia,Swimming,100m freestyle men,Men,SILVER,1
Summer,ANZ,Australasia,Swimming,100m freestyle women,Women,GOLD,1
Summer,ANZ,Australasia,Swimming,100m freestyle women,Women,SILVER,1
Summer,ANZ,Australasia,Swimming,1500m freestyle men,Men,BRONZE,2
Summer,ANZ,Australasia,Swimming,400m freestyle men,Men,BRONZE,1
Summer,ANZ,Australasia,Swimming,400m freestyle men,Men,SILVER,1
Summer,ANZ,Australasia,Swimming,4x200m freestyle relay men,Men,GOLD,1
Summer,ANZ,Australasia,Tennis,singles indoor men,Men,BRONZE,1
Summer,ARG,Argentina,Athletics,long jump women,Women,SILVER,1
Summer,ARG,Argentina,Athletics,marathon men,Men,GOLD,2
Summer,ARG,Argentina,Athletics,marathon men,Men,SILVER,1
Summer,ARG,Argentina,Athletics,triple jump men,Men,SILVER,1
Summer,ARG,Argentina,Basketball,basketball men,Men,BRONZE,1
Summer,ARG,Argentina,Basketball,basketball men,Men,GOLD,1
Summer,ARG,Argentina,Boxing,51kg flyweight men,Men,GOLD,1
Summer,ARG,Argentina,Boxing,5352  5715kg featherweight men,Men,BRONZE,1
Summer,ARG,Argentina,Boxing,5352  5715kg featherweight men,Men,SILVER,1
Summer,ARG,Argentina,Boxing,54  5715kg featherweight men,Men,GOLD,1
Summer,ARG,Argentina,Boxing,54-57kg featherweight men,Men,BRONZE,1
Summer,ARG,Argentina,Boxing,57-60kg lightweight men,Men,BRONZE,1
Summer,ARG,Argentina,Boxing,5715  6124kg lightweight men,Men,SILVER,1
Summer,ARG,Argentina,Boxing,6124  6668kg welterweight men,Men,SILVER,2
Summer,ARG,Argentina,Boxing,63.5-67kg welterweight men,Men,BRONZE,1
Summer,ARG,Argentina,Boxing,6668  7257kg middleweight men,Men,BRONZE,1
Summer,ARG,Argentina,Boxing,6668  7257kg middleweight men,Men,SILVER,1
Summer,ARG,Argentina,Boxing,67  71kg lightmiddleweight men,Men,BRONZE,1
Summer,ARG,Argentina,Boxing,71-75kg men,Men,BRONZE,1
Summer,ARG,Argentina,Boxing,7257  7938kg lightheavyweight men,Men,GOLD,1
Summer,ARG,Argentina,Boxing,73  80kg lightheavyweight men,Men,BRONZE,1
Summer,ARG,Argentina,Boxing,75-81kg lightheavyweight men,Men,SILVER,1
Summer,ARG,Argentina,Boxing,7938kg heavyweight men,Men,GOLD,2
Summer,ARG,Argentina,Boxing,80kg heavyweight men,Men,GOLD,1
